5C,PY,NAu,NAf,NAC,NP,NWT,NWA,NR,AFs,NF,NT,NSF,NWDL,NPSDL,NNSDL,NSSDL,NQDL,NWAR,NPSAR,NNSAR,NSSAR,NFAR,SAD,NDR
162,2015,19,6,4,23,14,160,48,6,8,5,3,332,3,4,4,6,801,15,8,10,0,157,0
14,2015,4,2,2,58,13,145,47,5,7,0,3,608,11,2,7,1,681,6,7,3,0,112,0
28,2015,4,2,1,21,12,151,75,2,7,0,2,468,6,7,2,1,657,9,2,2,0,105,0
35,2015,25,6,2,19,12,154,31,4,6,0,0,757,13,10,7,2,952,5,3,5,3,58,0
51,2015,9,5,1,60,12,155,42,8,12,4,0,476,7,5,7,4,489,6,3,2,0,65,0
17,2015,3,1,1,17,14,135,37,4,6,0,1,1318,19,23,11,2,962,10,10,8,0,105,0
18,2015,5,3,2,28,12,150,96,4,9,0,0,2259,46,25,28,2,7424,96,66,59,4,195,0
30,2015,2,1,1,54,8,150,58,3,8,2,4,857,16,12,11,1,1132,12,4,5,0,99,0
20,2014,4,3,3,36,7,116,87,2,7,3,1,1395,29,15,19,11,3179,44,10,29,0,215,0
21,2014,7,2,2,17,9,148,49,3,6,0,0,1945,28,13,18,11,3366,27,10,5,0,129,0
30,2014,4,1,1,33,13,140,62,1,12,0,0,428,5,3,4,3,588,8,4,5,0,111,0
15,2014,17,9,3,24,11,137,89,6,7,0,2,2852,67,20,38,10,3585,33,19,24,1,101,0
119,2014,11,2,1,21,11,153,55,5,6,0,0,1223,19,7,12,0,1858,21,8,19,1,120,0
28,2014,28,14,4,12,7,108,74,2,3,0,0,244,3,4,3,0,335,7,1,5,0,87,0
36,2014,8,1,1,24,12,151,60,4,7,0,2,621,9,10,6,6,1484,22,11,12,0,84,0
10,2014,10,1,1,44,10,152,49,2,10,0,0,2512,31,25,20,14,4421,40,18,28,0,187,0
50,2014,11,2,1,65,9,143,75,4,10,0,0,934,18,5,8,4,2183,32,11,12,0,97,0
37,2014,8,2,1,14,10,150,47,7,4,0,0,610,6,11,9,6,1085,12,6,5,0,234,0
24,2014,3,2,2,31,15,150,66,5,10,0,0,942,17,10,14,1,1952,34,6,23,1,101,0
21,2014,16,7,4,76,14,118,93,3,6,2,3,1643,34,16,26,7,4820,69,19,30,0,172,0
65,2014,3,1,1,21,7,148,63,1,19,2,0,1064,22,9,15,12,1739,20,8,11,0,173,0
27,2014,5,2,1,18,10,149,45,7,4,4,0,396,8,4,3,0,399,10,0,5,0,40,0
23,2014,9,3,2,22,8,150,52,4,6,3,0,1214,25,15,17,3,3457,46,17,26,2,79,0
8,2013,13,5,2,23,11,150,57,10,11,0,0,421,4,4,3,0,512,3,1,2,0,223,0
17,2013,9,2,1,15,11,151,50,7,5,0,1,689,12,8,9,0,384,2,1,3,0,83,0
79,2013,4,2,1,22,13,149,63,2,10,0,0,920,17,9,14,3,1180,8,4,8,0,71,0
44,2013,4,1,1,18,19,150,27,2,7,0,0,677,10,5,5,0,956,12,3,3,0,90,0
26,2013,7,3,1,21,8,141,58,2,9,0,1,869,15,7,8,1,1318,16,8,7,0,151,0
836,2013,6,3,1,9,6,131,14,2,3,0,1,492,9,5,5,0,478,7,2,2,0,19,0
0,2019,3,1,1,28,16,149,76,6,11,2,6,1464,25,10,10,3,1163,5,2,2,0,146,2
0,2019,6,7,4,20,11,142,49,2,6,0,3,1211,30,7,19,6,1895,14,4,8,0,216,1
0,2019,13,5,2,20,13,150,54,4,6,0,1,2236,37,21,24,3,2824,28,17,10,0,107,2
0,2019,6,1,1,29,9,148,71,2,8,0,1,2204,45,4,29,8,5080,39,26,11,0,129,1
0,2019,3,2,1,23,16,151,91,1,8,0,1,931,18,3,10,6,2352,40,10,18,0,144,1
0,2019,15,6,1,32,17,148,72,12,9,0,1,832,18,11,7,2,1965,23,14,16,0,160,1
0,2019,6,5,1,16,10,152,46,2,4,0,1,1520,34,6,17,5,4057,63,19,45,2,87,0
0,2019,3,1,1,28,13,153,76,2,9,0,2,481,9,3,4,0,747,11,5,11,0,110,1
0,2019,7,2,2,28,13,135,106,3,9,2,1,1939,37,15,18,13,4985,47,46,26,0,390,0
1,2019,6,4,2,39,16,137,91,2,8,0,16,1756,28,16,21,4,3257,22,9,14,1,174,1
0,2019,30,22,7,20,9,145,73,17,5,2,8,1275,22,9,13,1,2759,36,17,25,1,138,2
1,2019,5,2,2,33,15,150,71,5,9,0,2,2940,55,29,30,14,4458,42,21,16,4,138,0
0,2019,2,3,1,27,13,143,69,0,7,0,2,1079,22,8,12,8,2395,46,7,31,0,159,3
1,2019,5,2,1,20,12,149,73,3,4,0,6,479,11,0,3,2,869,16,4,4,1,81,1
0,2019,6,1,1,31,8,147,120,2,8,0,1,1660,29,8,16,14,3711,50,17,27,0,136,2
0,2019,9,7,4,25,12,151,72,7,5,2,2,1263,22,13,13,5,1846,15,11,13,2,218,1
0,2019,11,1,1,23,10,149,44,8,4,0,5,987,16,7,12,4,1873,16,9,13,0,139,0
0,2019,5,7,3,30,11,146,55,6,8,0,1,1619,35,6,23,6,2140,31,8,12,0,272,1
1,2019,4,3,2,20,9,150,92,3,5,0,2,1249,22,11,13,22,4231,56,30,31,2,119,2
0,2019,8,3,1,20,13,115,63,3,8,0,1,1358,25,10,7,0,1293,7,3,6,0,164,0
0,2019,23,9,4,27,11,145,83,7,7,0,1,1312,16,8,9,4,1223,13,3,8,0,143,1
0,2019,5,5,2,21,11,150,69,2,4,0,1,732,11,5,8,2,2175,35,14,23,0,80,2
0,2019,15,8,4,35,13,133,74,7,11,0,6,1165,27,12,9,3,2062,23,10,10,0,154,1
0,2019,22,2,1,23,12,149,65,8,6,0,2,1231,28,7,12,6,2617,43,11,17,0,91,0
2,2019,8,1,1,23,15,148,57,3,5,0,1,1008,18,8,10,3,2240,36,14,21,0,125,2
0,2019,27,17,6,15,15,142,30,6,3,2,1,721,11,7,10,4,1625,22,11,12,1,158,0
2,2019,8,5,1,15,10,79,43,3,4,0,5,835,12,4,10,7,2292,32,16,20,1,118,2
1,2019,5,2,1,19,15,150,48,8,5,0,2,470,9,1,5,2,320,4,1,3,0,29,2
0,2019,15,5,2,16,15,126,41,5,6,0,4,842,14,1,13,5,3930,59,26,41,3,115,0
2,2019,3,1,1,26,12,148,123,3,11,0,1,2380,50,17,24,4,3731,48,15,26,0,207,1
1,2019,2,1,1,26,16,150,81,3,7,0,1,924,17,1,9,0,1769,20,7,15,0,98,1
0,2019,9,4,1,29,11,147,75,3,7,0,1,808,13,5,5,4,1873,21,14,15,0,156,2
1,2019,9,5,1,28,20,152,76,6,7,0,5,1284,18,13,12,1,1755,16,12,10,0,155,2
1,2019,15,4,1,33,16,122,63,4,8,5,1,1291,20,8,14,5,2414,21,14,10,3,180,1
2,2019,8,6,1,24,12,148,58,3,8,0,4,2868,67,20,38,4,3147,36,5,14,0,38,2
0,2019,3,2,1,25,13,146,80,1,8,0,2,2229,49,12,25,1,3820,44,13,27,0,219,0
3,2019,8,1,1,22,11,150,66,1,6,0,0,2072,42,12,17,7,2282,28,5,15,0,89,1
0,2019,3,1,1,21,15,83,34,2,7,0,1,2230,50,7,22,7,3201,27,13,18,0,57,2
1,2019,9,6,2,22,15,149,48,8,8,0,1,688,13,4,9,0,454,6,3,4,0,80,0
3,2019,6,1,1,26,11,147,51,3,6,0,1,1191,22,3,9,4,2372,26,2,17,0,133,1
2,2019,5,1,1,19,13,150,47,3,6,0,4,868,14,2,10,14,1670,32,10,21,0,79,1
3,2019,10,2,2,41,13,145,94,4,8,0,1,2537,44,12,32,4,3725,47,21,23,1,93,3
1,2019,4,1,1,17,13,148,52,2,4,0,2,1209,15,10,12,0,2887,37,11,15,4,332,3
4,2019,2,1,1,22,15,149,70,4,8,0,1,2633,54,22,41,10,5214,68,34,45,0,54,0
4,2019,6,3,1,27,14,142,97,3,8,0,2,1237,25,7,17,17,4586,68,21,26,6,175,0
6,2019,4,3,2,19,10,153,63,8,6,0,2,3048,58,20,30,15,7102,73,31,37,0,156,0
2,2019,5,1,1,29,13,146,81,3,7,0,1,2383,37,25,23,5,5723,49,35,34,0,228,0
5,2019,3,2,1,19,11,148,56,2,5,0,1,966,16,2,11,6,2415,30,12,13,0,83,0
3,2018,3,1,1,16,14,135,52,3,5,0,11,2359,59,8,42,8,4076,52,22,48,0,111,1
5,2018,13,2,2,25,18,144,60,3,10,0,1,494,10,1,9,1,921,8,5,7,1,172,0
16,2018,8,2,1,17,11,125,33,4,4,3,1,583,13,5,11,4,728,9,4,5,0,33,1
7,2018,4,3,2,14,17,118,115,5,3,0,0,1621,36,11,15,8,2449,18,8,7,0,120,0
7,2018,3,1,1,22,9,146,53,6,7,0,1,1314,29,9,13,5,1853,12,7,12,1,166,0
12,2018,22,17,4,146,9,125,339,9,6,26,1,5540,122,40,66,33,12901,160,76,86,0,168,0
1,2018,9,3,1,26,7,148,37,3,5,0,2,716,10,4,6,7,2223,36,17,26,0,114,0
2,2018,18,6,3,33,12,150,75,6,6,0,4,1689,32,9,18,2,1512,7,1,3,0,108,0
4,2018,5,2,1,22,5,143,96,4,6,0,1,2108,40,19,28,3,2666,20,11,15,0,298,0
5,2018,7,5,2,28,11,150,93,6,7,0,1,2721,46,22,36,3,4487,40,17,21,5,241,0
15,2018,20,11,2,19,9,154,57,2,7,0,7,1518,35,4,17,8,2030,24,5,14,0,156,3
7,2018,14,3,1,23,12,147,45,3,10,2,4,2705,38,20,29,16,4007,46,21,32,0,151,0
6,2018,7,2,1,28,11,163,66,6,9,0,2,733,8,5,6,2,917,8,4,6,0,60,0
2,2018,11,4,3,18,14,149,28,6,7,0,1,1585,29,9,24,1,2044,20,9,12,0,234,0
1,2018,9,2,2,25,11,149,92,7,8,0,2,1685,22,17,6,5,2858,32,17,17,1,41,0
12,2018,29,8,2,37,12,148,144,7,9,0,8,1143,16,6,9,8,2405,28,15,21,1,79,0
12,2018,4,1,1,25,16,153,91,3,8,0,2,627,13,6,6,0,505,3,3,3,0,17,0
16,2018,11,3,1,27,14,155,73,3,6,0,2,1232,17,13,7,8,1476,25,6,18,0,77,0
23,2018,8,5,1,46,15,145,59,6,12,4,7,713,13,4,7,0,1350,22,6,11,0,301,2
10,2018,7,1,1,19,14,148,41,3,6,2,1,749,7,4,7,5,720,10,2,3,0,194,0
4,2018,7,3,2,14,14,159,37,5,3,0,1,4125,69,41,45,9,12672,148,75,101,4,154,0
6,2018,7,2,1,20,15,148,57,4,5,0,4,812,14,4,8,2,916,12,3,8,0,101,0
8,2018,11,5,1,30,15,148,91,8,9,2,3,1012,18,5,7,4,1990,23,6,18,2,442,0
16,2018,7,1,1,21,6,152,7,3,4,0,1,561,10,3,9,1,619,7,0,5,0,73,0
7,2018,4,3,1,24,10,150,67,5,7,0,6,1392,26,6,23,5,3883,52,6,37,0,119,0
12,2018,9,3,1,25,14,152,65,5,5,0,17,1861,42,9,24,0,2364,16,6,15,0,170,0
2,2018,3,2,2,30,6,154,75,2,5,4,4,553,12,3,8,0,1651,22,5,10,0,113,0
1,2018,11,4,2,24,16,139,57,7,6,0,1,1702,36,9,27,13,3264,28,18,15,2,212,0
2,2018,2,1,1,24,15,148,64,2,9,0,1,2942,69,15,26,2,3982,65,11,27,0,51,0
5,2018,9,2,1,44,12,151,67,10,12,0,1,3336,69,28,45,15,9649,149,45,88,0,108,0
5,2018,8,2,2,35,12,144,72,7,5,0,1,1244,15,13,13,7,2055,13,5,11,1,134,0
5,2018,9,3,2,29,11,146,82,3,7,0,1,3433,48,30,36,12,7614,46,49,52,1,73,0
8,2018,9,4,1,23,14,150,74,3,5,0,1,928,18,8,14,2,1281,16,5,11,0,144,0
20,2018,24,7,2,38,13,147,95,5,7,2,4,476,8,3,8,0,682,2,4,4,0,105,0
5,2018,8,1,1,21,18,154,46,7,6,0,2,2036,32,13,21,22,3790,24,14,14,8,232,0
12,2018,11,2,1,33,15,150,61,4,10,0,1,6666,139,47,74,50,12675,146,58,87,0,418,0
21,2018,12,2,1,35,10,133,90,4,10,0,2,3256,48,30,36,10,8080,94,65,65,0,187,0
3,2017,3,3,3,21,13,160,64,2,7,0,1,1533,27,7,17,22,3214,38,17,26,0,98,0
6,2017,4,1,1,15,13,138,40,4,4,5,1,862,20,6,8,6,1086,6,6,3,0,166,0
20,2017,9,3,2,27,14,148,91,5,8,0,3,1614,27,23,12,7,3925,34,22,28,3,219,0
53,2017,2,1,1,19,7,148,65,1,7,2,2,802,10,6,8,1,1346,13,7,11,0,24,0
57,2017,3,4,2,37,6,147,73,3,10,0,1,2696,44,29,26,17,5957,76,30,52,0,354,0
12,2017,13,13,6,43,9,149,98,7,3,6,4,440,10,2,5,1,916,13,10,6,0,129,0
6,2017,8,4,3,19,10,147,42,7,7,0,2,620,13,3,8,0,636,7,4,3,0,248,0
17,2017,9,1,1,18,10,146,49,3,5,4,1,552,14,0,4,3,951,9,4,4,0,128,0
23,2017,10,6,2,27,10,150,88,5,7,0,1,1015,17,7,9,5,2750,33,17,15,0,133,0
4,2017,8,4,2,30,12,144,58,1,11,0,0,1836,37,11,19,3,4087,51,13,21,0,95,0
15,2017,5,4,1,20,13,145,49,6,6,0,1,1518,32,8,18,1,3600,36,12,15,0,194,0
11,2017,2,2,1,39,10,153,32,3,4,0,1,899,17,7,10,11,2891,46,19,28,0,127,0
16,2017,19,7,4,26,10,144,54,8,7,0,6,811,12,9,8,1,1411,21,9,11,3,218,0
12,2017,15,11,3,21,18,150,57,2,7,0,1,1798,34,6,21,7,3485,29,28,23,2,182,0
7,2017,14,4,1,23,14,149,76,3,7,0,7,1072,14,10,6,2,1492,16,8,8,0,125,0
4,2017,5,3,1,22,8,148,59,3,7,0,3,604,11,8,8,1,1623,28,10,17,1,119,0
7,2017,5,1,1,38,12,141,94,3,3,0,0,1689,36,7,19,5,5059,62,16,31,0,130,0
16,2017,5,1,1,14,11,118,30,4,4,3,0,745,13,2,5,1,1154,19,1,14,0,130,0
3,2017,13,2,1,15,9,149,39,3,5,0,1,438,4,3,3,4,1025,5,12,8,0,170,0
28,2017,9,2,1,24,15,150,36,4,7,0,4,756,9,4,6,5,2354,38,9,17,3,147,0
14,2017,6,2,1,25,12,142,64,3,10,2,0,2451,44,26,21,16,3823,38,18,24,1,55,0
47,2017,10,5,2,36,7,147,44,4,19,0,1,1571,39,9,25,0,1344,17,7,10,0,88,0
39,2017,7,2,1,17,14,146,37,0,4,0,0,571,11,3,6,0,1276,20,5,10,0,70,0
13,2017,10,2,1,25,15,150,94,2,7,0,0,2396,46,14,36,9,6877,60,28,49,3,213,0
34,2017,12,3,1,26,13,135,88,3,6,0,3,1970,43,9,22,11,4880,64,36,35,3,175,0
0,2017,9,4,1,24,6,150,69,4,7,2,0,2208,33,21,13,18,5492,72,19,39,6,138,0
12,2017,3,1,1,25,6,150,67,1,8,0,0,1491,35,10,25,3,1471,11,3,6,0,121,0
11,2017,9,2,1,24,9,148,50,4,7,0,1,1068,14,16,11,3,3359,63,14,40,0,298,0
8,2017,7,1,1,24,8,145,63,3,7,0,0,1790,25,16,18,7,4236,54,23,36,0,134,0
3,2017,2,1,1,25,17,149,85,2,7,0,0,1458,28,16,27,8,4397,70,16,39,0,55,0
73,2017,9,9,1,27,12,263,66,13,5,3,0,2293,46,17,26,1,5423,70,17,35,0,238,0
14,2017,13,4,1,29,19,145,86,17,8,0,0,1687,33,10,18,8,2394,12,8,7,0,124,0
15,2017,5,1,1,25,9,152,82,4,7,0,1,1379,33,12,13,2,2555,38,15,22,0,171,0
15,2017,8,4,1,23,15,146,63,4,6,3,0,3531,67,33,47,13,4607,61,28,35,0,146,0
16,2017,9,5,2,18,13,156,79,6,3,0,8,1417,26,13,12,12,2102,18,9,11,0,127,0
21,2017,17,3,2,25,10,149,46,3,8,2,1,853,18,7,13,4,1455,19,3,5,0,158,0
32,2017,9,1,1,19,15,147,48,8,7,2,0,1120,26,11,17,15,3169,40,23,24,0,132,0
36,2016,5,2,1,106,15,99,154,8,6,74,0,1900,35,7,10,25,2833,26,4,11,0,186,0
25,2016,14,5,2,24,9,145,59,8,8,0,5,1290,21,15,18,3,841,6,1,3,0,45,0
21,2016,8,3,3,27,14,148,91,5,6,6,0,1359,22,9,17,1,4605,65,22,39,0,89,0
27,2016,8,1,1,23,11,149,85,5,7,0,2,1635,32,11,10,4,2613,27,9,16,0,183,0
7,2016,5,1,1,19,15,147,47,2,8,0,0,1131,17,9,10,1,1060,5,5,6,0,128,0
13,2016,13,4,2,23,11,146,36,4,8,0,0,1061,18,9,17,2,869,11,5,13,0,162,0
11,2016,17,5,1,29,15,151,60,8,7,0,0,1591,29,15,18,1,1521,9,6,7,0,116,0
19,2016,25,9,4,35,17,147,131,6,11,3,2,1404,27,6,10,25,1982,23,13,14,0,63,0
16,2016,16,9,3,31,10,148,67,15,3,3,2,761,12,5,3,6,1843,26,13,18,0,83,0
16,2016,9,2,2,34,14,122,97,7,9,5,0,1756,37,15,24,6,5681,60,39,34,0,173,0
12,2016,10,1,1,25,6,152,56,4,7,4,0,1444,33,16,14,2,895,10,6,6,0,44,0
24,2016,7,2,2,24,12,149,64,5,7,0,1,2111,37,18,23,7,2914,28,9,14,0,104,0
46,2016,4,1,1,18,12,152,55,3,7,0,0,1627,40,10,15,17,3663,50,7,24,0,121,0
11,2016,4,2,1,30,19,152,86,5,6,0,0,1443,29,11,20,4,2950,30,9,17,0,121,0
5,2016,10,3,2,14,9,129,31,4,4,0,1,2108,34,13,21,17,3486,29,21,22,0,33,0
51,2016,14,5,3,24,13,150,57,7,8,0,0,1612,26,9,15,18,5030,67,25,23,0,105,0
26,2016,4,2,1,31,14,150,93,7,9,0,0,2068,47,28,38,5,6458,98,35,54,0,298,0
15,2016,14,6,2,33,7,147,67,11,9,0,0,1726,31,8,18,3,4576,59,23,35,0,138,0
24,2016,6,2,1,15,15,127,16,2,5,0,0,1834,33,6,16,14,3394,44,17,28,1,75,0
10,2016,3,1,1,22,13,152,50,4,10,0,1,949,15,8,8,8,3455,39,24,26,0,138,0
19,2016,4,2,2,24,16,141,79,3,7,0,1,493,7,2,2,0,701,6,6,3,0,93,0
19,2016,8,4,3,21,12,150,90,1,5,0,2,2532,52,14,23,4,4838,52,21,34,0,181,0
39,2016,7,4,2,19,8,131,58,11,4,0,1,1608,35,5,13,1,4979,61,41,44,0,181,0
51,2016,8,2,1,28,11,149,84,12,7,0,3,1031,17,9,12,2,1319,18,2,9,0,55,0
45,2016,5,3,1,26,17,147,72,5,5,6,1,1785,37,6,21,5,3981,51,16,24,0,155,0
22,2016,2,1,1,42,14,142,165,1,10,0,0,630,10,4,6,1,607,5,7,5,0,80,0
17,2016,4,4,2,14,8,134,53,3,5,0,0,981,23,3,4,1,1004,7,3,4,0,123,0
37,2016,10,6,1,27,14,139,75,6,10,0,0,3125,69,25,42,2,5698,78,10,33,0,77,0
9,2016,5,3,1,24,12,151,46,1,11,0,0,1679,30,7,19,11,2297,22,11,13,0,148,0
12,2016,9,4,3,31,13,147,65,7,8,5,0,2064,35,17,29,23,5367,76,26,42,1,279,0
26,2016,2,2,2,11,11,150,20,2,4,0,0,1782,41,21,27,13,3389,35,18,34,0,81,0
24,2016,9,2,2,27,9,150,57,6,7,2,0,2423,53,18,45,7,3803,54,17,37,0,130,0
15,2016,2,3,1,20,13,141,43,2,6,0,0,973,9,8,9,12,2590,25,8,18,0,138,0
4,2016,10,4,1,23,14,121,63,5,9,0,0,1979,36,18,28,14,2800,29,22,12,0,89,0
22,2016,9,2,1,27,11,153,55,5,6,0,0,1599,39,9,22,8,3436,49,20,23,0,92,0
16,2016,10,2,1,25,13,163,77,3,7,0,1,1772,46,14,29,0,6206,87,20,48,0,268,0
19,2016,3,1,1,22,14,126,94,2,6,0,0,2118,51,14,22,6,2487,13,7,3,0,118,0
58,2016,9,4,2,12,11,129,26,5,6,0,0,772,19,7,18,6,2239,33,8,24,0,117,0
